id,text,emotions,Degree
1383,Turkmenistan votes for president,joy,25
1384,Here is some advice to take to heart...,surprise,25
1385,10 don't-miss tax breaks,joy,25
1386,Police break up Kosovo protests,anger,25
1387,Messi makes Barcelona squad return,joy,25
1388,Jump reported in accidental drug-overdose deaths,sadness,100
1389,Catania punished for fan violence,sadness,100
1390,Isinbayeva sets 20th world record,joy,100
1391,Lawmakers blast FDA drug safety oversight,anger,25
1392,Regular naps make hearts healthy,joy,100
1393,Ice stops trolleys cold,sadness,25
1394,U.S. gunman 'was Srebrenica survivor',surprise,25
1395,Outdated baby food found on shelves,disgust,25
1396,Tow truck drivers accused of stealing cars,disgust,25
1397,Bush: It's time for Congress to back energy plan,joy,25
1398,UK soldiers cleared of Iraq abuse,joy,25
1399,FDA revises label warnings on the antibiotic Ketek,joy,25
1400,Toshiba Portege R400,joy,25
1401,South Africa mourns Adelaide Tambo,sadness,100
1402,Evacuees can return home after plant blast,joy,100
1403,Anna Nicole Smith's body lies in legal limbo,sadness,100
1404,Former teacher poses for Playboy,surprise,25
1405,France rejects Rwandan investigators,anger,25
1406,A nap a day may keep the heart doctor away,surprise,100
1407,"Higley, Gonzalez lead in Malaysia",joy,25
1408,Grammys ready to name winners,joy,100
1409,Pound will not drop Armstrong case,anger,25
1410,Reunited Police to start world tour in May,joy,100
1411,Turkmen acting leader sworn in as new president,joy,25
1412,Allen and Okur get All-Star call,joy,25
1413,Svindal claims are golden double,joy,25
1414,"Trolley Square shooting leaves 6 dead, including gunman",sadness,100
1415,Bridge blast stops I-95 traffic,fear,100
1416,"Mother, daughter stabbed near school",sadness,100
1417,Excerpt: Politicians and the press,disgust,25
1418,North Korea gets 'money and respect',joy,25
1419,Beyonce in a bikini as SI's swimsuit cover model,joy,25
1420,Loving with all your ... brain,surprise,100
1421,Shoplifters' choice: Police or T-shirt of shame,surprise,25
1422,Cuban official: Web a 'wild colt',fear,25
1423,Slow 'Music and Lyrics',joy,25
1424,Mexican navy helps in hunt for U.S. engineer,joy,25
1425,Smith baby may not be pot of gold,sadness,25
1426,Latest updates on world's top stories,fear,25
1427,Beating leaves teen in coma,sadness,100
1428,Tiempo Libre has Grammy dreams,joy,100
1429,GPS sneakers locate with press of a button,surprise,25
1430,Embattled Edwards blogger quits campaign,sadness,25
1431,Britons deported from Somalia held under Terrorism Act,fear,100
1432,Updates on world's top stories,fear,25
1433,Breast cancer drug promises hope,joy,100
1434,Ancient coin shows Cleopatra was no beauty,surprise,100
1435,YouTube yields surprising payback,surprise,100
1436,Up to 22 inches of snow in forecast,surprise,100
1437,Werder make 10-man Ajax pay price,joy,25
1438,EU condemns 'illegal' CIA flights,anger,100
1439,Report links humans to global warming,fear,100
1440,UN nuclear watchdog slashes Iran aid,anger,25
1441,Survey: Tech a tool in teen dating abuse,sadness,100
1442,The breast cancer breakthrough saving 1000 women a year,joy,100
1443,"Tourist spot resists gravity, but not progress",sadness,25
1444,The NFL's 20 biggest potential free agents,joy,25
1445,World tourism sets record in 2006,joy,100
1446,BA to charge $470 for an extra bag,surprise,25
1447,Kuerten returns to winners' circle,joy,100
1448,World's oldest newspaper now exists only online,surprise,25
1449,Japanese whaler afire in Antarctic,sadness,100
1450,EU document: Iranian bomb unstoppable,fear,100
1451,U.S. urged to lead on 'green' actions,joy,25
1452,See if your city is one of the United States' top 10 fittest or fattest,surprise,25
1453,Lee in pre-World Cup injury scare,fear,25
1454,New cancer drug to save a thousand lives a year,joy,100
1455,Ex-teacher guilty in nude-pictures scheme,disgust,100
1456,Fire extinguisher part of Tennessee execution kit,surprise,25
1457,Founder returns to Dell helm,joy,100
1458,Charles Gibson takes over first place,joy,100
1459,Ex-Border Patrol agent beaten in prison,sadness,100
1460,'Made in China' irks some Burberry shoppers,anger,25
1461,Stonehenge workers' village found,surprise,100
1462,Who is Prince Frederic von Anhalt?,surprise,25
1463,Latest food-fad -- 'space potatoes',surprise,25
1464,Ethiopia readies for millennium all its own,joy,25
1465,Good news for slackers: Naps may cut risk for heart problems,joy,100
1466,Snowbirds shortening their Florida stays,sadness,25
1467,Win a (concert) date with the Police,joy,25
1468,"Snow begins, heavy accumulations expected",fear,25
1469,"Jet flips in snowstorm, none dead",joy,25
1470,Frantic 911 call in Ryan O'Neal case,surprise,25
1471,Durant's success trumps the Gators,joy,100
1472,Scientist snoops in astronauts' journals,disgust,25
1473,YouTube founders split $650M payout,joy,100
1474,African nation hopes Whoopi can help,joy,25
1475,United hang on to six-point lead,joy,25
1476,Lawyer seizes Smith's Bahamas home,sadness,100
1477,Was Prince's super show too revealing?,surprise,25
1478,Clijsters looks for a long goodbye,sadness,25
1479,Snow's too deep even for snowmobiles,surprise,100
1480,Study: Female seals picky about mates,surprise,100
1481,ROUNDUP: Protests erupt despite "state of siege" In Guinea,anger,100
1482,Study: More kids exposed to online porn,disgust,100
1483,Beyonce new SI bikini cover girl,joy,25
1484,"Marijuana helps ease HIV nerve pain, study says",surprise,100
1485,Serena misses Bangalore tournament,sadness,25
1486,"Dryer blamed for fire killing 39 cats, dogs",sadness,100
1487,"Roddick, Murray score in San Jose",joy,25
1488,Apple trademark dispute settled,joy,25
1489,U.S. online love brokers eye China,sadness,25
1490,U.S. diverts troops to fight Taliban,anger,25
1491,'House of Cards' actor Ian Richardson dead,sadness,100
1492,Taliban leader killed in airstrike,sadness,100
1493,Escape to Prague without the summer hordes,joy,25
1494,Kathmandu: First snow in 63 years,surprise,100
1495,Nasdaq fails in bid for LSE,sadness,100
1496,Ex-pastor gets death sentence,sadness,100
1497,Baby born on turnpike after dad misses exit,surprise,100
1498,Study links chimps and 'hammers',surprise,100
1499,UN-Google Earth map climate change,joy,100
1500,I am happy,joy,25
1501,I am very happy,joy,50
1502,I am extremely happy,joy,75
1503,I am sad,sadness,25
1504,I am very sad,sadness,50
1505,I am extremely sad,sadness,75
1506,I am scared,fear,25
1507,I am very scared,fear,50
1508,I am extremely scared,fear,75
1509,I am angry,anger,25
1510,I am very angry,anger,50
1511,I am extremely angry,anger,75
1512,I am disgusted,disgust,25
1513,I am very disgusted,disgust,50
1514,I am extremely disgusted,disgust,75
1515,I am extremely very happy,joy,100
1516,I am extremely very sad,sadness,100
1517,I am extremely very scared,fear,100
1518,I am extremely very surprised,surprise,100
1519,I am extremely very angry,anger,100
1520,I am extremely very disgusted,disgust,100
1521,I am surprise,surprise,25
1522,I am very surprise,surprise,50
1523,I am extremely surprise,surprise,75
