id,text,emotions
3642,"I was walking on the pavement when a white car rolled on it and 
directed towards me. I was quite near the house wall when it 
rolled by and hit me.",fear
3643,"My grandmother's brother had taken active part in the resistance 
movement. He had been in prison many times and there he lost his 
health. He became an invalid. When we phoned to First Aid the 
nurse on duty behaved quite unkindly when she understood how old 
he was (79).",anger
3644,"My boyfriend is a soldier. He was on a leave. I felt sad when we 
had to get separated again.",sadness
3645,"I felt disgusted about a teacher who had rejected all that was 
human in her. She refused to accept the flowers we gave her for 
the eighth of March and asked for a foreign parfume instead.",disgust
3646,"I was very glad when I learned I was a student already. I heard 
about it over the phone, I didn't believe it at first.",joy
3647,I had worries about a certain illness.,fear
3648,"I suffered from a gynaecological illness. I was quite displeased 
to hear that my roommates had talked about it and they had 
misrepresented the truth. I felt deeply hurt when I learned that 
it was done by a ""good"" acquaintance of mine.",anger
3649,"When my first boyfriend left me. I tried not to let him 
understand I felt miserable.",sadness
3650,"I hate hypocrisy. My friend (girl) tried to intrude into my 
affairs with my future husband. After that she behaved as if 
nothing had happened.",disgust
3651,"I felt glad when I took the rather difficult organic chemistry 
examination.",joy
3652,"This was what I felt when my boyfriend went to Bourgas to study 
there. I had the feeling I would lose him. Anyway the distance 
Plovdiv-Bourgas seemed to me so great.",fear
3653,"I confronted with this feeling at the Institute quite recently, 
the pedology lecturer was the cause.",anger
3654,"This feeling was quite deep when my friend (girl) died in a car 
accident.",sadness
3655,"I am disgusted with the behavior of a car driver whose car would 
run over me and my friends during our autumn brigade.",disgust
3656,"I sensed a strong feeling of joy when in the plant, at my working 
place, I got a message that I was admitted as full time student at 
the Higher Agricultural Institute.",joy
3657,"Fear when fulfilling my obligations on my first night fatigue 
duty as a soldier.",fear
3658,"When on a car journey a fellow student crossed our way with his 
own car and we had to bump into a roadside trunk.",anger
3659,The loss of a close relative who was ill with cancer.,sadness
3660,"I am disgusted with a nieghbour who is looking for all sorts of 
quarrel with my parents and me. He feels we are hampering his 
living close to us. This has been going on for quite a long time.",disgust
3661,"After a difficult exam. When I had not hoped to take it and had 
got a high mark. When you present someone with something and he 
feels glad.",joy
3662,"Fear from the unknown. I felt fear when I sat for the entrance 
examinations.",fear
3663,"I feel angry at people's indifference at our ability to be 
present at an event and to stay partial to what happens.",anger
3664,"When you are far away from relatives and friends. I feel sad for 
my early years, for the freedom and the carefree years of 
childhood.",sadness
3665,"I feel disgusted with the bootlickers, with helpless people.",disgust
3666,"I was sitting for an exam in biochemistry, I was very excited 
because it was a supplementary examination. I passed the exam 
very well and was glad because I recovered my selfconfidence.",joy
3667,"Students fear many things but we seem to fear the examinations 
most of all. I remember I was horror stricken before my 
microbiology exam, because it was a decisive one.",fear
3668,"It was necessary to organise a competition in connection with a 
celebration. Everyone was to be present at that event. It turned 
out that there was no audience at all because everyone had 
pretended to be very intelligent and no one had come. I got 
furious.",anger
3669,"When I part with my friends I feel always sad for some time. I 
can't remember a concrete example now. For example I have just 
parted with a friend of mine and I am feeling sad.",sadness
3670,"In autumn I had to move to another lodging. My landlords, quite 
intelligent people, warned me I had to move in the nearest 
future. But I had difficulties in moving my luggage because I 
couldn't wait for a car to come. How amazed I was to hear them 
threatening me they would throw our my things. And at that my 
luggage was well packed and did not stand in their way. I was 
quite disappointed and disgusted.",disgust
3671,"When I succeded in establishing a contact with a girl (who is now 
my girlfriend).",joy
3672,I fear before each exam.,fear
3673,When my bosom friend tried to lie to me.,anger
3674,When I quarrelled with a very close friend of mine.,sadness
3675,When I see the acts and deeds of a blind drunk man.,disgust
3676,"I feel joy usually after each taken exam, the last one was in 
February.",joy
3677,"It was not long ago when I and two of friends of mine got quite drunk 
and one of them began to rave under the influence of the alcohol. 
I felt fear of what could have happened.",fear
3678,"I felt anger at my last exam, I felt angry with our teacher, 
because he did not rate me objectively and I failed.",anger
3679,"I met a girl some time ago and I cared very much about her but it 
happened so that we left each other. I felt some sort of sadness, I think 
I can call it so.",sadness
3680,"I had a very good friend (boy) and I thought I could rely on him 
but he behaved badly with a girl who used to trust us completely.",disgust
3681,When I was admitted to the Higher Institute.,joy
3682,"I felt fear when I fell down and broke my leg into pieces and I 
could not feel it at all.",fear
3683,"I felt angry when I failed in an exam about which I knew quite a 
few things and I did not deserve to be plucked.",anger
3684,"When my mother and father were on an excursion in Chechoslovakia 
and I was at a student camp and I heard over the radio about the 
events that were taking place there.",sadness
3685,"I felt disgust with alcohol in general when a close friend of 
mine got so drunk that he didn't realize what he was doing and it 
was quite shameful.",disgust
3686,"I felt joy when I was admitted to the Higher Agricultural 
Institute.",joy
3687,"I feel fear quite often but this feeling was very strong last 
year when my husband was quite unexpectedly sent to the hospital.",fear
3688,"That was what I felt with a teacher who put down quite unreal 
marks.",anger
3689,"I felt sad when a friend of mine died and I felt that something 
had irrevocably gone away from me.",sadness
3690,"I felt disgust with a lady teacher who used to nag, to mock, to 
interrupt everyone of my fellow students each time we had a class 
with her in our first year.",disgust
3691,"I was for the first time on a brigade this year. At that time my 
sister was to bear a child. I was mad with joy when I opened the 
telegram from my parents and learned I had a nephew.",joy
3692,"It was some years ago when one evening some people came home and 
told us my father was badly injured in an accident.",fear
3693,"I faced this feeling when I realized I wasn't admitted to the 
institute in the first classifying, in spite of the high mark I 
had got at the entrance examination. 
",anger
3694,"Always when I get separated from my friends and relatives from my 
home town.",sadness
3695,"I feel disgust with my first boyfriend who made fun of our love 
in an abominable way.",disgust
3696,"Naturally when I got myself discharged this was my second 
birthday.",joy
3697,When I failed my first exam at the Higher Institute.,fear
3698,"A nuisance used to live in our flat a month ago. I experienced 
this feeling when I tried to chase her out.",anger
3699,After my father's death.,sadness
3700,With an alcoholic.,disgust
3701,"I felt the greatest burst of joy when after being heavily ill for 
a long period, my father came back home.",joy
3702,"I was terrified during an axcursion in Italy. I was lost and left 
alone in this unfamiliar country.",fear
3703,"I took part in a football match. The referee was extremely 
partial to the opposite team. This stirred up my discontent and 
anger.",anger
3704,When my first girlfriend an I left each other.,sadness
3705,"During a summer holiday at a bar I happened to see a dead to the 
world woman.",disgust
3706,"When I got a message that I was employed as a nurse at a 
kindergarten.",joy
3707,When I first sat for an entrance examination.,fear
3708,"When a teacher though pretending to be a highly cultivated 
teacher and a man, slapped a classmate of mine in the face quite 
undeservedly.",anger
3709,When I got separated from my first love.,sadness
3710,"Many times, when my father used to come home drunk and maltreated 
physically me and my mother.",disgust
3711,"Being invited out by a person I wished to get closer to. He 
telephoned and invited me to go out with him the next night.",joy
3712,Watching a horror movie with friends.,fear
3713,"The breakup of a relationship. After the event I was upset/sad 
then angry maybe 2/3 weeks later.",anger
3714,"The funeral of a friend who was killed in a car accident. She was 
of my own age, there were many of my own friends present, as well 
as her family etc.",sadness
3715,"Disgust for a person who treated me badly, and has treated other 
people similarly - including lying, hiding facts, being 
deceitful, unfair, etc.",disgust
3716,"Achievement of a task by a friend who had begun a new job. She 
wasn't confident of handling the situation so was thinking of 
leaving the job only after 2 days employment.",joy
3717,"Walking home at night after university - part of the way, there 
are ano lights and I am walking down a thoroughfare with the 
thouth of no one hearing me if I have to scream.",fear
3718,"When my son omits to carry out certain duties at home that he 
knows needs doing.",anger
3719,"When I saw my niece (5 yrs) crying in the hallway for her mother 
who had passed away about a month ago.",sadness
3720,"With a woman who had walked into my place of employment and 
urinated on the floor in front of everyone.",disgust
3721,"Felt joy a few years ago when I was away on holiday. And sat very 
close to my best friend looking straight into the eyes.",joy
3722,"I had to tell someone that I was interested in remaining celibate 
and alone. And that my spiritual master strictly prohibited 
sexual relations outside of marriage. This caused great fear 
through lack of conviction afraid to hurt someone's feelings 
despite my own being hurt in the process.",fear
3723,"In a sociology class I felt very angry towards some members of 
society for exploiting the Polynesian people, dawn raids by 
Police (Martin Luther King, Blacks in S.A.). But this was just a 
reflection of my own shortcomings.",anger
3724,"Felt sad about some street kids in QUEII square, Aotea square. 
Because they had been sniffing glue and some were very young. I 
went into the role of a performing clown.",sadness
3725,"I was disgusted by my paranoid attitude towards myself, my 
homework at university and disgusted about my lack of retention. 
Especially in learning another language.",disgust
3726,"When I meet old past pupils of mine - and find they are all doing 
well - I feel joy. Yesterday I met a young woman (20 yrs) I'd 
taught her at 6 yrs, then at 12 yrs and hadn't seen her for last 
3-4 yrs; she was no longer a waitress but a meter maid for 
Council.",joy
3727,"A Maori language oral test, yeaterday - Although I had studied 
intensely - once in the examiners room ""I blew it"" - I was so 
nervous I couldn't reply easily - It was very important, but I 
got only blankness.",fear
3728,"A friend visited and made comments that my house/garden were not 
as neat/tidy as in the past. I'd not seen her a year - She 
implied I'd gone to the pack (I'd only been working full time, 
and taking 3 University exams part time).",anger
3729,"When my father a 4th/5th generation colonial (from Eng.) attacked 
me verbally about my chosen partner. A man whom he discarded 
because his colour skin was not white. His ultimate disgust 
saddned me.",sadness
3730,"People who came to our home - and requested ""Put out your smoke"". 
That we should not smoke in our house... and asked not even 
politely. It disgusted me because I think people need to adapt to 
the situation.",disgust
3731,My 3 children - each top his class in the final exams 1984.,joy
3732,"A truck (big one) nearly mowed me off the road (I was driving a 
small Lazer).",fear
3733,"A shop in Downtown wouldn't accept my Visa Card - before December 
last year.",anger
3734,"My dog of 16 and 1/2 years - ""Lord Grey"" died in his sleep - His 
death caused me more and deeper sadness than I thought.",sadness
3735,A sour looking man was beating his thin dog in Remuera.,disgust
3736,When my daughter was born.,joy
3737,"When my mother entered surgery for a quadruple heart bypass. I 
felt intense fear at the time she was actually wheeled away.",fear
3738,"When my husband got picked up in our new car for drunken driving. 
We had made a pact the other would not drink and so therefore 
would be the driver for the evening etc. I was not present at the 
time.",anger
3739,When my grandmother died very suddenly without warning.,sadness
3740,"When the N.Z. rugby union announced that they would proceed with 
a rugby tour of South Africa.",disgust
3741,"Being reunited with my family after not having seen them for 5 
years, at the airport. Sheer elation at getting through the 
""paper work"" collecting bags and the anticipation of coming 
through the customs gate.",joy
3742,"I caught a huge eel on a fishing line which I had pulled into the 
boat. I cut the line and threw the whole lot back into the water. 
Later that day and about ten miles away I went swimming and 
someone made the comment wondering how far eels could swim, I 
abruptly ended swimming for fear at an unseen eel for a few days 
until we had left the district.",fear
3743,"My partner without discussing with me the situation decided it 
was time for us to have a break and went ahead and arranged his 
own life for the next 6-12 months, then told me the day before it 
was about to happen having been tolerant and friendly for the 
preceding week.",anger
3744,"I had been living in an overseas city and made the decision to 
leave the city and come home about 12 months before I met a whole 
new set of friends, leaving them at the airport was sad and 
traumatic as they had helped me in many ways and I knew I 
wouldn't see many of them again.",sadness
3745,"After I had managed to fail my first year at University I was 
scared as to what I was going to do with my future. I didn't want 
a mundane 9-5 job and yet I didn't know if I could pay my way 
through an unsubsidized year at university to settle down and 
continue my studies.",fear
3746,"This situation keeps occurring - when my little sister disagrees 
with me or vice-versa. We have very similar temperaments and I 
always end up feeling angry at her and myself for fighting so 
much over unimportant trivial matters.",anger
3747,"When my grandmother, who has been living with us for 14 years, 
had a stroke and was left paralysed on one side. She has been 
quite close to our family and to see her suffer in this way makes 
me feel really sad.",sadness
3748,"A gathering of a social sports club at which they proceeded to 
show pornographic videos and then afterwards (when most people 
had had quite a bit to drink) carried on in a very degrading, 
unmoral manner - especially females exposing and flaunting 
themselves with no shame or embarassment.",disgust
3749,"My mother along with some of my friends gave me a surprise 
birthday party - they invited a large number of my friends along 
too.",joy
3750,"My mother did not come home till late at night (Ages ago). Anyway 
if I don't know where my parents are and when they'll be back I 
start thinking that perhaps they have had an accident and are 
perhaps dead.",fear
3751,"Because I am the Captain of a basketball team I usually organise 
a roster system so that everyone in the team can have a turn at 
doing either a duty or a ref. A lot of the time the girls can't 
be bothered or just forget - I usually have to fill in.",anger
3752,"So as to be closer to the university I have left home and moved 
into Auckland. It now seems as if I have left home - especially 
my family - forever.",sadness
3753,"A friend of mine goes out with this guy. She sleeps with him but 
is quite happy for him to play around - as well as herself.",disgust
3754,"Passing my pharmacy exams which meant my tertiary education for 
pharmacy completed.",joy
3755,"When I was in a car with my parents and friends and we had to 
back up (reverse) pass a river which when I recall it (I was only 
about 5 yrs) seemed we were going to fall in and drown.",fear
3756,"When my boyfriend wouldn't dance with me on my graduation night 
because he thought I could dance with my friends who were 
friendly.",anger
3757,"When my sister (really my niece) died of cancer at the age of 2 
yrs after I took her to the doctor at the age of 1 and he 
diagnosed it.",sadness
3758,"My brother gave me a beating because he could not beat me 
verbally.",disgust
3759,"Joy for me is when all my family gather around home for special 
occasions as Christmas etc. It really gives me joy to see my 
family and relatives and to observe natures productivity process 
which have been going on for centuries.",joy
3760,"I had this experience of fear when few people were fighting at a 
social one night, which one of my relative was involved. My fear 
was greatly for him because he was being assaulted badly.",fear
3761,Never really had the experience just yet - N/A.,anger
3762,"This occurred when my girlfriend and I have to finish our 
relationship due to some circumstances between her and her 
family. I was really sad, hurt and couldn't really find any 
reason why am I still living. Is this life is all about ? This 
was one of few question which crept up vividly every time I 
thought about what had happened.",sadness
3763,"I'm very disgusted when I see people abusing their body with 
drugs and alcohol. They take advantage of these things usually 
for an excuse for the fantasies which they like and so they do 
things stupidly and unjustly.",disgust
3764,"Letting Jesus take control of my emotions i.e., ill feeling.",joy
3765,Had fear of losing husband.,fear
3766,"When present boyfriend's mother approached my parents and self - 
to leave her son alone - as she did not want me for a future 
daughter-in-law.",anger
3767,When boyfriend could not stand up to his mother or for himself.,sadness
3768,"Disgusted with boyfriend's mother - her overpowering, 
over-protecting and selfish attitudes.",disgust
3769,"My cousin asked me to be a bridesmaid for her. This made really 
happy because I was adopted into the family and her asking me 
made me realise that she saw me as a cousin and not just another 
person. There were other cousins she could have asked but she 
asked me.",joy
3770,"That if ever I was really naughty I would be sent away from my 
Mum and Dad to another family. I was fostered from age 5 and 
didn't get to Mum and Dad until I was 6 and then legally adopted 
at 14.",fear
3771,"(1) My father died. (2) My natural father contacted me a year 
after my father died and this angered me more as I thought he 
should be dead and not my father.",anger
3772,"My father died. I was away at the time and did not know until two 
days after.",sadness
3773,"A child told me she had been sexually abused by her step-father. 
I only knew the child and had not come into contact with either 
parent. I tried to do what was best for the child. The event and 
the stepfather disgusted me.",disgust
3774,Joy at meeting a woman I love very much.,joy
3775,When approached by a gang of youths in town at night.,fear
3776,"When a man, a stranger to me, personally insulted a close woman 
friend of mine in public.",anger
3777,After my father died suddenly of a heart attack.,sadness
3778,"When a man spoke very sexistly in the company of some friends of 
mine.",disgust
3779,"When my lover and I felt like we had gone full circle. And our 
relationship was new, fresh, vital etc. once again.",joy
3780,"My daughter was 2 yrs she went up to a colt tried to hit it. It 
turned on her and kicked her over the heart, sent her flying 
through the air. I left my mother and sister to deal to her as 
they are nurses. I felt I didn't want to know if she was going to 
die, it was just too much.",fear
3781,"My anger is with men, their inability to be human (not all men).",anger
3782,"The saddest I've ever been was when my lover was killed, 
hitch-hiking to work.",sadness
3783,"With the N.Z. Rugby Union wanting to send the All Blacks to South 
Africa.",disgust
3784,"A good friend, the wife of the vicar of my church came up to me 
from the pews (I am in the choir) and shook my hand during the 
time for an informal ""greeting"" in the church service. She said a 
few words.",joy
3785,"I walked up the main street of Auckland at 10 o'clock at night. I 
expected it to be very active with people, gangs, fast cars etc, 
thought it was actually quite quiet, though also oppressive. I 
walked about half a mile and bought a drink along the way.",fear
3786,"Someone in my family (my brother I suspected) ate a bun which I 
had made for myself. It was during a long telephone call after I 
had just made it and put it in the oven warming drawer.",anger
3787,"Sitting in a bus, I heard behind, the voice of a girl I was 
friendly with. After her talking for some time with another girl 
I decided it wasn't her in fact that someone miming her, which it 
was when I finally looked. I was talking to a friend at the time.",sadness
3788,"Having moved into a flat within the last week I felt some disgust 
that a bathroom tap had been left to drip with a faulty fawcet.",disgust
3789,"My friend replying to my letter and again saying he was attracted 
to me and suggesting we write, talk and get together and see how 
things went and his suggestion that I could ring and doing that it 
was really good - though really insane conversation.",joy
3790,"Being sexually assaulted (not rape, but passionate kissing) by a 
friend's father - he stopped when he was driving me home. I 
hadn't wanted the lift, had refused 3 times, and then felt it'd 
be rude to refuse again. Was really afraid of what he might do.",fear
3791,"I live by myself and a few weeks ago was woke by a man on the end 
of my bed coming up my bed at me. I was really angry, told him to 
get out. He was surprised, hesitated; I started to move towards 
him and he backed off - kept telling him - loudly, but firmly to 
go. Because I'd got the initiative, I succeeded. A very powerful 
message.",anger
3792,"When my grandmother died - I wasn't sad so much that she'd died 
because she was old, but because she lived in the last few years 
in an old people's home and had nothing very much that was hers - 
no chair, or private space, and when I went to visit she would be 
sitting in the ""lliving"" room the TV room. It was hopeless. And I 
felt awkward so I didn't go and I was sad 'cos how I couldn't.",sadness
3793,"When during a social evening with my father, brother, sister, 
close friend and my father's 2nd wife - I had an argument with my 
father, who abused my friend who was sticking up for me.",anger
3794,"When the girl whom I have lusted after expressed reciprocal 
feelings and then days later changed her mind.",sadness
3795,When a close friend wilfully cheated me.,disgust
3796,"Girlfriend arriving back from overseas and picking her up from 
airport. When she finally appeared from customs and we came in 
contact again.",joy
3797,"Fear of punishment for having broken an item of value to my 
parents.",fear
3798,"That a friend had been badly beaten and stabbed many times and 
the person that did it got away without any punishment from the 
law.",anger
3799,The death of an animal we had reared.,sadness
3800,"Finding that a girlfriend of mine was a prostitute and had been 
seeing many others during our relationship.",disgust
3801,"The feeling of joy when again I had confessed my sin and 
experienced God's forgiving grace and cleansing power - total 
enlightenment and freedome - bliss.",joy
3802,"Riding through a bush fire on an island of Australia - on a 
pushbike as a little boy - all alone, lost and surrounded by 
smouldering wood and flame.",fear
3803,"When bicycling along, a courier van started to tail me very close 
- I sped up and moved over and he just did the same. I reacted 
violently, much physical responding in the dangerous situation.",anger
3804,"My cat was sick and I had to take him to the vet to be put down - 
no one else there to do it.",sadness
3805,"When someone I had had a relationship (purely sexual) with came 
up to me after I had used her and acted as if nothing had 
changed.",disgust
3806,"First time I slept with my present girlfriend. Had been best 
friends for a year but had been hesitant about getting involved 
emotionally.",joy
3807,"Waiting for a taxi - when within 1/2 an hour two separate people 
challenged me to fight for no apparent reason except they were 
drunk.",fear
3808,"Deliberately provoked by someone close. Angered by the 
deliberation not the provocation.",anger
3809,"My girlfriend let me down badly 3 times in one week. These 
instances summed up all the negative aspects of our relationship 
which at the time seemed doomed to fail.",sadness
3810,A close friend took part in a racist violent action.,disgust
3811,"Hearing that I had been successful in getting a position whereby 
my financial, physical, spiritual and emotional needs will be 
well catered for. This position fulfils a lot of my aims for the 
last five years of my life.",joy
3812,"When I decided to leave my steady, secure employment to come to 
university. Because I didn't know if I could cope with all the 
requirements of study and also being older I didn't know if I 
would enjoy mixing with younger people, also financial 
insecurity.",fear
3813,"When a close friend failed to live up to the expectations I had 
of him - thereby causing pain to his spouse. I believe that my 
anger was probably a reaction of fear that I wouldn't be able to 
live up to my own expectations.",anger
3814,"Departure of a very close friend - for a long stay overseas, 
sharing in the sorrow of her parents who were left behind.",sadness
3815,"I get disgusted with the inherent racist attitudes of my 
brother-in-law in putting down various ethnic groups and also my 
unwillingness to challenge him about these attitudes in order to 
keep the peace.",disgust
3816,Hearing Fran Wilde introduce the Bill.,joy
3817,"Being harrassed for being gay; suggestions of being physically 
beaten - acting as informal bouncer in a gay bar.",fear
3818,Landlord putting up rents sneakly and slimily.,anger
3819,"Listening and watching a tape of someone with AIDS being 
prejudiced against at a counselling course on AIDS with 20 
others.",sadness
3820,"Hearing Norman Jones get hysterical in Parliament about law 
reform (on the radio - listening with 2 others).",disgust
3821,Won a prize for effort.,joy
3822,Assaulted by drunken neighbour.,fear
3823,"I was playing in a football tournament and saw the rules openly 
disregarded.",anger
3824,Death of brother.,sadness
3825,Reading literature on AIDS/homosexuality.,disgust
3826,"I was feeling really low - had been a series of fights with my 
siblings, been under pressure at school and wasn't going to the 
party I wanted to go - instead I was going out with my family. A 
guy called and said, in effect, that I was ""nice"" and he liked 
me. Hence the emotional joy.",joy
3827,"I was watching a movie alone - it was a horror movie. The music 
was a deep pulsing type - not really music. And a light flashed 
on and off. It was in the complete darkness of a movie theatre 
that was almost empty.",fear
3828,"My sister and I were fighting as usual. She's older tham I am, 
bigger built and stronger I couldn't win in a physical battle and 
in a verbal battle I couldn't seem to get through to her to 
really hurt her.",anger
3829,"My paternal grandmother had died. We weren't close but she was 
blood. I didn't cry but I was sad, partly due to her death and 
partly I think, due to the fact that I couldn't/didn't cry.",sadness
3830,"My older sister used to pick on my brothers and sisters all of 
whom were younger than her. On one occasion my brother did 
something my sister didn't like. A full-scale battle began.",disgust
3831,"Winning a rowing race at a Karapiro regatta. With 7 other 
friends.",joy
3832,"Being alone in Europe and having to catch a train and bus to the 
airport, then board the plane alone.",fear
3833,"At school teacher for not allowing us to go out on New Year's Eve 
when on a class trip overseas.",anger
3834,"I was in a car accident on the way back from a weekend rowing 
regatta we'd won. 5 others were in the car. I thought I'd never 
be able to row again.",sadness
3835,Our boarder burping after meals !,disgust
3836,"When I won a position on the track-team for the trans-tasman 
games when I was eleven.",joy
3837,When I was jumped by three men in a deserted area.,fear
3838,"Once a person in authority (school teacher) was telling blatant 
lies about me and the headmistress would not let me defend 
myself. She was also telling lies about other members of my 
family.",anger
3839,When my mother died.,sadness
3840,"When somebody who had been a bully and had acted cruelly to 
others who were unable to defend themselves was taken down a few 
notches and he began to grovel. I was disgusted with his 
grovelling and the manner in which he had treated others.",disgust
3841,Easter holiday - I had been working weekends and had just left.,joy
3842,Haven't been frightened for ages.,fear
3843,"I visited a special education school. The headmaster applied a 
policy of strict positive - negative reinforcement to the 
children involved. Children who measured up to his standards were 
made a fuss of - children who didn't were ignored.",anger
3844,"I felt sad with the two situations I described before. The cat 
and the school. Sadness was intermingled with the other feelings.",sadness
3845,"Next door nieghbour ran over his cat in driveway, he tried to 
finish it off with a flat shovel. I would have taken cat to 
veterinary to either kill humanely or cure.",disgust
3846,"Getting my kitten, found at work several years ago, taking him 
home in a box on my motorbike, showing it to my defacto.",joy
3847,Obscene phone call where the person knew my name.,fear
3848,At work being shifted to another area.,anger
3849,"Enrolling at varsity, being told I couldn't get in to certain 
papers.",sadness
3850,Noticing my flat had maggotts !,disgust
3851,"When I was finally able to return to a job that I enjoyed doing 
after several months absence (I was not needed during this time).",joy
3852,When I was attacked by a teenage boy and had my wallet stolen.,fear
3853,"Someone who was speeding was forced to slow down when I pulled 
out onto the road and proceeded to abuse me at the next set of 
traffic lights.",anger
3854,"When someone I was close to became a paranoid schizophrenic and I 
was unable to see this person because of the situation.",sadness
3855,"When someone whom I considered my friend, without telling me he 
was annoyed, proceeded to ignore me for several meets with no 
apparent reason.",disgust
3856,"At my wedding - standing with the man I love and acknowledging 
that fact to members of family and friends.",joy
3857,"As a result of breaking the indicator light as mentioned 
for guilt.",fear
3858,"Arriving home from work after a long and tiring day to find no 
dinner prepared as I had expected.",anger
3859,"At the death of my husband's father's mother which occurred 
during university examinations and therefore I was unable to 
attend her funeral.",sadness
3860,"With a Manager who insists on making crude innuendos pertaining 
to sex.",disgust
3861,Waking in morning (early morning) and having whole day to myself.,joy
3862,"Being driven by friend who suddenly swerved and skidded a little. 
It was night and on a long trip. We ended up on side of road.",fear
3863,"Friend (male) hinted that my talking to other men at a pub was 
immoral. He implied that I should remain only with my boyfriend 
the entire evening.",anger
3864,On rising. No apparent reason.,sadness
3865,"Prolonged ""niggling"" of friend on a single theme which I 
considered of no consequence.",disgust
3866,When my first niece was born.,joy
3867,"In a flat in Sydney - rough area at home on my own - the flat had 
been burgled the night before and no way of locking the door.",fear
3868,When the bus driver failed to stop and pick me up at a bus stop.,anger
3869,When my uncle died of leukemia at age 35.,sadness
3870,"Watching an alcoholic woman who was approaching everyone at the 
wharf for cigarettes - a prostitute in Auckland (elderly).",disgust
3871,"When I went to the pub with a large group of friends, we drank 
and danced.",joy
3872,Watched a horror movie which involved sexual attacks on women.,fear
3873,"My boyfriend promised to take me to see a game of tennis and rang 
saying he was going to the pub with some of his friends instead.",anger
3874,"My mother was unwell and went for many cancer tests. She spent 
time in hospital being opened and closed many times.",sadness
3875,"I was driving along and saw this young guy urinating into the 
gutter, in broad daylight.",disgust
3876,Birth of children.,joy
3877,Being alone at night.,fear
3878,In a hurry to get to lectures and the car would not start.,anger
3879,When grandfather died.,sadness
3880,Obscene phone calls.,disgust
3881,Thought had discovered true love.,joy
3882,"Stopped at lights in Mangere late one Friday night on way home 
from work. Alone in car when someone came up behind the car and 
started banging and shaking it. Light was red and had nowhere to 
go until light changed. When green I took off.",fear
3883,"When fired unjustly from a job as casual bar-person. Charged with 
giving away free drinks. Not done so and had witnesses to prove 
it - both patrons and bar staff. Other staff were supportive.",anger
3884,"Close friend leave to go overseas for an indefinite period. 
Farewell scene at airport.",sadness
3885,When employer made a pass at me whilst I was at work.,disgust
3886,"Receiving understanding from within self of a subject I had 
previously wished to understand better.",joy
3887,"To talk in a meeting - expound my thoughts on a subject. Fear 
delayed me acting to do this.",fear
3888,"Towards wife's laziness in not performing her usual duties 
because of television watching.",anger
3889,Watching suffering in Third World country.,sadness
3890,"Observation of people lost in the profit motive - i.e. business 
managers to their actions esp.",disgust
3891,"Meeting best friend at the airport (boyfriend) who I had missed 
terribly.",joy
3892,"Confronted outside a party by some very nasty character - 
gesturing to a car full of mean-acting friends - felt in danger.",fear
3893,NO RESPONSE.,anger
3894,My cat died painfully and slowly.,sadness
3895,"Having unwanted attention paid to me in my place of work - 
harrassment (and sexual harrassment) by another worker - 
disgusted by his implications.",disgust
3896,"I was very pleased and happy when my older sister came home from 
living somewhere out of town and I hadn't seen her for months. We 
are very close sisters.",joy
3897,"I was skiing alone and the mountain became covered with mist and 
I thought I was lost and was going to panic.",fear
3898,"My parents didn't allow me to go to a social function that all my 
friends were attending.",anger
3899,"While still at school a friend died of cancer, after being ill 
for a long time, she was 17 yrs old.",sadness
3900,"At a party my best girlfriend got really drunk and went off with 
a guy she knows I really like.",disgust
3901,"When my brother who has been out of New Zealand for 10 years came 
to visit with his wife which none of our family had previously 
met.",joy
3902,"When I had to give a speech about some historical event, to an 
audiece of about 200 people my own age whom I did not know.",fear
3903,"In arguments with a close friend or relative where my point of 
view is completely disregarded.",anger
3904,"When my grandfather whom I had met only once for 3 weeks, died 
after several months. I was really sad because he was a lovely 
person and I did not have the means for his company.",sadness
3905,"I once saw a programme on TV describing how certain wild life 
films were made and was disgusted by the treatment of certain 
animals in this particular programme of the polar bear.",disgust
3906,"When my former boyfriend and I reconciled and he decided that I 
was very important to him. I had always wanted us to get back 
together again, but had doubted the likelihood of this, so I was 
very happy when my small amount of faith was vindicated.",joy
3907,"When riding in a very fastly-driven car on a lose metal road at a 
very late hour - no other cars on road, and driver was taking 
corners very sharply. I felt afraid - because if an accident 
happened, the area was very isolated. Also, I feared for driver, 
after I was dropped off - would he make it home safely.",fear
3908,"When at very short notice I agreed to work in place of a friend 
who was sick, and owner of the restaurant refused to allow me a 
drink later in the evening (which is usually always available for 
workers), did not thank me, and was generally indifferent towards 
me - I felt I did not deserve this.",anger
3909,"When I learned that my former boyfriend had become engaged - 
although I was glad that he had found what he wanted, I was very 
sad at my own personal loss, since I had always hoped we might 
one day reconcile.",sadness
3910,"When reading a newspaper story of a man who had committed 
incestuous acts on his two-year old child - the thought that 
anyone could do such a thing is abhorrent to me.",disgust
3911,"I did a solo flight from Ardmore to Kaikohe before I got my pilot 
licence. I can remember it was gorgeous day and I was on a 
natural high, cruising up the coast with my maps and compasses 
and gear. Other pilots had seen me off and wished me good luck 
and it was a real adventure.",joy
3912,"A friend (female) and I were on holiday on Great Barrier Island 
by ourselves. One night we were nearly raped by about 20 locals - 
they came to our bach and tried to break the doors down. All of 
them were stoned or drunk and we hid under the bunks and were 
totally terrified. Eventually these guys gave up and went looking 
for us on the beach. We escaped and slept in the bush for 2 
nights.",fear
